x,y,u,v
8.0,4.0,-7.8973546624183655,8.079390972852707
9.0,4.0,-8.200779557228088,5.962122231721878
10.0,4.0,-8.470136672258377,4.395432770252228
11.0,4.0,-8.66161659359932,3.6326609551906586
12.0,4.0,-8.740797638893127,3.84405255317688
13.0,4.0,-8.686203509569168,5.068127065896988
14.0,4.0,-8.491091430187225,7.164515554904938
15.0,4.0,-8.16386193037033,9.76506620645523
16.0,4.0,-7.72818922996521,12.225396931171417
17.0,4.0,-7.219985127449036,13.61403614282608
18.0,4.0,-6.6805630922317505,13.5808065533638
19.0,4.0,-6.056688725948334,12.899711728096008
20.0,4.0,-5.251355469226837,12.172982096672058
21.0,4.0,-4.236623644828796,11.398494243621826
22.0,4.0,-3.0379369854927063,10.55002212524414
23.0,4.0,-1.7154216766357422,9.608753025531769
24.0,4.0,-0.34693628549575806,8.563175797462463
25.0,4.0,0.9841471910476685,7.4089691042900085
26.0,4.0,2.2010505199432373,6.149038672447205
27.0,4.0,3.2410025596618652,4.792921245098114
28.0,4.0,4.06116247177124,3.3570080995559692
29.0,4.0,4.641301929950714,1.8647685647010803
30.0,4.0,4.983916878700256,0.34615397453308105
31.0,4.0,5.112402141094208,-1.1629238724708557
32.0,4.0,5.065016448497772,-2.619214355945587
33.0,4.0,4.887990653514862,-4.005990922451019
34.0,4.0,4.651099443435669,-5.46090304851532
35.0,4.0,4.544705152511597,-7.06646591424942
36.0,4.0,4.737824201583862,-8.661001920700073
37.0,4.0,5.321204662322998,-10.038316249847412
38.0,4.0,6.315894424915314,-11.031441390514374
39.0,4.0,7.683597505092621,-11.5150585770607
40.0,4.0,9.33762639760971,-11.411383748054504
41.0,4.0,11.155642569065094,-10.68953424692154
42.0,4.0,12.99303025007248,-9.370557963848114
43.0,4.0,14.69828188419342,-7.530562579631805
44.0,4.0,16.128569841384888,-5.302093923091888
45.0,4.0,17.16703176498413,-2.8807297348976135
46.0,4.0,17.741508781909943,-0.5217269062995911
47.0,4.0,17.844177782535553,1.4512985944747925
48.0,4.0,17.552301287651062,2.6461854577064514
49.0,4.0,17.048679292201996,2.991780638694763
50.0,4.0,16.459710896015167,3.18773090839386
51.0,4.0,15.658065676689148,3.7783384323120117
52.0,4.0,14.543868601322174,4.660114645957947
53.0,4.0,13.078004121780396,5.6712329387664795
54.0,4.0,11.275224387645721,6.673596799373627
55.0,4.0,9.195581078529358,7.554627954959869
56.0,4.0,6.93589448928833,8.228160440921783
57.0,4.0,4.6182796359062195,8.63678753376007
58.0,4.0,2.378597855567932,8.752606809139252
59.0,4.0,0.3540143370628357,8.57822597026825
60.0,4.0,-1.3319030404090881,8.149072527885437
61.0,4.0,-2.5841593742370605,7.534436881542206
62.0,4.0,-3.3528730273246765,6.838887929916382
63.0,4.0,-3.6513805389404297,6.203800439834595
64.0,4.0,-3.574937582015991,5.832575261592865
65.0,4.0,-3.299713134765625,6.156265735626221
66.0,4.0,-2.8283149003982544,7.2959065437316895
67.0,4.0,-2.0540133118629456,8.643269538879395
